technology,year,parameter,value,unit,source,further description,currency_year
decentral resistive heater,2025,efficiency,0.9,per unit,Schaber thesis, from old pypsa cost assumptions,2015.0
decentral resistive heater,2025,discount rate,0.04,per unit,Palzer thesis, from old pypsa cost assumptions,2015.0
central resistive heater,2025,investment,63.4933,EUR/kWhth,"Danish Energy Agency, inputs/technology_data_for_el_and_dh.xlsx",41 Electric Boilers:  Nominal investment; 10/15 kV; >10 MW,2015.0
central resistive heater,2025,lifetime,20.0,years,"Danish Energy Agency, inputs/technology_data_for_el_and_dh.xlsx",41 Electric Boilers:  Technical lifetime,2015.0
central resistive heater,2025,FOM,1.7,%/year,"Danish Energy Agency, inputs/technology_data_for_el_and_dh.xlsx",41 Electric Boilers:  Fixed O&M,2015.0
central resistive heater,2025,efficiency,0.99,per unit,"Danish Energy Agency, inputs/technology_data_for_el_and_dh.xlsx","41 Electric Boilers:  Total efficiency , net, annual average",2015.0
decentral gas boiler,2025,investment,314.1035,EUR/kWhth,"Danish Energy Agency, inputs/technologydatafor_heating_installations_marts_2018.xlsx",202 Natural gas boiler:  Specific investment,2015.0
decentral gas boiler,2025,lifetime,20.0,years,"Danish Energy Agency, inputs/technologydatafor_heating_installations_marts_2018.xlsx",202 Natural gas boiler:  Technical lifetime,2015.0
decentral gas boiler,2025,FOM,6.6924,%/year,"Danish Energy Agency, inputs/technologydatafor_heating_installations_marts_2018.xlsx",202 Natural gas boiler:  Fixed O&M,2015.0
decentral gas boiler,2025,efficiency,0.98,per unit,"Danish Energy Agency, inputs/technologydatafor_heating_installations_marts_2018.xlsx","202 Natural gas boiler:  Total efficiency, annual average, net",2015.0
decentral gas boiler,2025,discount rate,0.04,per unit,Palzer thesis, from old pypsa cost assumptions,2015.0
central gas boiler,2025,investment,52.9111,EUR/kWhth,"Danish Energy Agency, inputs/technology_data_for_el_and_dh.xlsx",44 Natural Gas DH Only:  Nominal investment,2015.0
central gas boiler,2025,lifetime,25.0,years,"Danish Energy Agency, inputs/technology_data_for_el_and_dh.xlsx",44 Natural Gas DH Only:  Technical lifetime,2015.0
central gas boiler,2025,FOM,3.8,%/year,"Danish Energy Agency, inputs/technology_data_for_el_and_dh.xlsx",44 Natural Gas DH Only:  Fixed O&M,2015.0
central gas boiler,2025,efficiency,1.04,per unit,"Danish Energy Agency, inputs/technology_data_for_el_and_dh.xlsx","44 Natural Gas DH Only:  Total efficiency , net, annual average",2015.0
decentral CHP,2025,lifetime,25.0,years,HP, from old pypsa cost assumptions,2015.0
decentral CHP,2025,investment,1481.5103,EUR/kWel,HP, from old pypsa cost assumptions,2015.0
decentral CHP,2025,FOM,3.0,%/year,HP, from old pypsa cost assumptions,2015.0
decentral CHP,2025,discount rate,0.04,per unit,Palzer thesis, from old pypsa cost assumptions,2015.0
central CHP,2025,lifetime,25.0,years,HP,,
central CHP,2025,investment,650.0,EUR/kWel,HP,,2013.0
central CHP,2025,FOM,3.0,%/year,HP,,2013.0
decentral solar thermal,2025,discount rate,0.04,per unit,Palzer thesis, from old pypsa cost assumptions,2015.0
decentral solar thermal,2025,FOM,1.3,%/year,HP, from old pypsa cost assumptions,2015.0
decentral solar thermal,2025,investment,285719.8393,EUR/1000m2,HP, from old pypsa cost assumptions,2015.0
decentral solar thermal,2025,lifetime,20.0,years,HP, from old pypsa cost assumptions,2015.0
central solar thermal,2025,FOM,1.4,%/year,HP, from old pypsa cost assumptions,2015.0
central solar thermal,2025,investment,148151.0278,EUR/1000m2,HP, from old pypsa cost assumptions,2015.0
central solar thermal,2025,lifetime,20.0,years,HP, from old pypsa cost assumptions,2015.0
HVAC overhead,2025,investment,442.1414,EUR/MW/km,"Hagspiel et al. (2014): doi:10.1016/j.energy.2014.01.025 , table A.2 .",,2011.0
HVAC overhead,2025,lifetime,40.0,years,"Hagspiel et al. (2014): doi:10.1016/j.energy.2014.01.025 , table A.2 .",,2011.0
HVAC overhead,2025,FOM,2.0,%/year,"Hagspiel et al. (2014): doi:10.1016/j.energy.2014.01.025 , table A.2 .",,2011.0
HVDC overhead,2025,investment,442.1414,EUR/MW/km,"Hagspiel et al. (2014): doi:10.1016/j.energy.2014.01.025 , table A.2 .",,2011.0
HVDC overhead,2025,lifetime,40.0,years,"Hagspiel et al. (2014): doi:10.1016/j.energy.2014.01.025 , table A.2 .",,2011.0
HVDC overhead,2025,FOM,2.0,%/year,"Hagspiel et al. (2014): doi:10.1016/j.energy.2014.01.025 , table A.2 .",,2011.0
HVDC submarine,2025,investment,1008.2934,EUR/MW/km,Härtel et al. (2017): https://doi.org/10.1016/j.epsr.2017.06.008 .,Table 1,2017.0
HVDC submarine,2025,lifetime,40.0,years,Purvins et al. (2018): https://doi.org/10.1016/j.jclepro.2018.03.095 .,"Based on estimated costs for a NA-EU connector (bidirectional,4 GW, 3000km length and ca. 3000m depth). Costs in return based on existing/currently under construction undersea cables.",2018.0
HVDC submarine,2025,FOM,0.35,%/year,Purvins et al. (2018): https://doi.org/10.1016/j.jclepro.2018.03.095 .,"Based on estimated costs for a NA-EU connector (bidirectional,4 GW, 3000km length and ca. 3000m depth). Costs in return based on existing/currently under construction undersea cables.",2018.0
HVDC inverter pair,2025,investment,165803.0398,EUR/MW,"Hagspiel et al. (2014): doi:10.1016/j.energy.2014.01.025 , table A.2 .",,2011.0
HVDC inverter pair,2025,lifetime,40.0,years,"Hagspiel et al. (2014): doi:10.1016/j.energy.2014.01.025 , table A.2 .",,2011.0
HVDC inverter pair,2025,FOM,2.0,%/year,"Hagspiel et al. (2014): doi:10.1016/j.energy.2014.01.025 , table A.2 .",,2011.0
csp-tower,2025,FOM,1.1,%/year,ATB CSP data (https://atb.nrel.gov/electricity/2021/concentrating_solar_power),Ratio between CAPEX and FOM from ATB database for “moderate” scenario.,2020.0
csp-tower,2025,investment,108.37,"EUR/kW_th,dp",ATB CSP data (https://atb.nrel.gov/electricity/2021/concentrating_solar_power) and NREL SAM v2021.12.2 (https://sam.nrel.gov/).,"Based on NREL’s SAM (v2021.12.2) numbers for a CSP power plant, 2020 numbers. CAPEX degression (=learning) taken from ATB database (“moderate”) scenario. Costs include solar field and solar tower as well as EPC cost for the default installation size (104 MWe plant). Total costs (223,708,924 USD) are divided by active area (heliostat reflective area, 1,269,054 m2) and multiplied by design point DNI (0.95 kW/m2) to obtain EUR/kW_th. Exchange rate: 1.16 USD to 1 EUR.",2020.0
csp-tower,2025,lifetime,30.0,years,ATB CSP data (https://atb.nrel.gov/electricity/2021/concentrating_solar_power),-,2020.0
csp-tower TES,2025,FOM,1.1,%/year,see solar-tower.,-,2020.0
csp-tower TES,2025,investment,14.52,EUR/kWh_th,ATB CSP data (https://atb.nrel.gov/electricity/2021/concentrating_solar_power) and NREL SAM v2021.12.2 (https://sam.nrel.gov/).,"Based on NREL’s SAM (v2021.12.2) numbers for a CSP power plant, 2020 numbers. CAPEX degression (=learning) taken from ATB database (“moderate”) scenario. Costs include the TES incl. EPC cost for the default installation size (104 MWe plant, 2.791 MW_th TES). Total costs (69390776.7 USD) are divided by TES size to obtain EUR/kW_th. Exchange rate: 1.16 USD to 1 EUR.",2020.0
csp-tower TES,2025,lifetime,30.0,years,see solar-tower.,-,2020.0
csp-tower power block,2025,FOM,1.1,%/year,see solar-tower.,-,2020.0
csp-tower power block,2025,investment,759.17,EUR/kWel,ATB CSP data (https://atb.nrel.gov/electricity/2021/concentrating_solar_power) and NREL SAM v2021.12.2 (https://sam.nrel.gov/).,"Based on NREL’s SAM (v2021.12.2) numbers for a CSP power plant, 2020 numbers. CAPEX degression (=learning) taken from ATB database (“moderate”) scenario. Costs include the power cycle incl. BOP and EPC cost for the default installation size (104 MWe plant). Total costs (135185685.5 USD) are divided by power block nameplate capacity size to obtain EUR/kW_e. Exchange rate: 1.16 USD to 1 EUR.",2020.0
csp-tower power block,2025,lifetime,30.0,years,see solar-tower.,-,2020.0
